Entity,Code,Year,Oil (terrawatt-hours),Coal (terrawatt-hours),Gas (terrawatt-hours),Hydropower (terrawatt-hours),Nuclear (terrawatt-hours),Solar (terrawatt-hours),Wind (terrawatt-hours),Other renewables (terawatt-hours)
Sweden,SWE,2017,178.97881407094306,22.96995943,7.931749999999992,170.9578947368416,172.88421052631486,0.6052631578947345,46.33947368421035,31.778947368420933
Sweden,SWE,2018,172.52960818911262,22.889724081150085,8.120838143036375,162.93914647577924,180.53630954170774,0.9818425027611879,44.2457669563752,31.207141218502947
Switzerland,CHE,1965,96.37956916666661,14.833333333333355,0,63.41389999999999,0,0,0,0
Switzerland,CHE,1966,102.46806833333336,12.263888888888953,0,72.41738947368422,0,0,0,0
Switzerland,CHE,1967,110.83246138888893,10.344444444444447,0,78.5531905263158,0,0,0,0
Switzerland,CHE,1968,122.93265749999988,9.777777777777782,0,77.67194210526314,0,0,0,0
Switzerland,CHE,1969,133.68281055555528,8.844444444444445,0.002499999999999996,74.32929315789471,1.3956,0,0,0
Switzerland,CHE,1970,149.81759305555565,7.588888888888891,0.38499999999999956,76.770072631579,6.55932,0,0,0
Switzerland,CHE,1971,158.97956722222276,5.125,0.9299999999999984,76.4308578947368,7.24549,0,0,0
Switzerland,CHE,1972,162.98949250000013,4.3361111111111095,1.1799999999999968,63.77377263157892,9.443560000000002,0,0,0
Switzerland,CHE,1973,175.4158155555551,4.116666666666667,1.597500000000001,69.96475421052631,16.50297,0,0,0
Switzerland,CHE,1974,156.1069030555559,3.5500000000000025,3.364999999999993,73.29050631578947,16.21222,0,0,0
Switzerland,CHE,1975,150.11577249999988,2.66111111111111,5.419999999999988,84.83102526315784,19.39884,0,0,0
Switzerland,CHE,1976,156.01618361111096,2.499999999999996,5.657499999999989,68.02474421052632,20.78281,0,0,0
Switzerland,CHE,1977,156.82472694444445,2.9166666666666696,6.459999999999994,91.81547842105269,21.23638,0,0,0
Switzerland,CHE,1978,160.81917055555593,2.625000000000004,7.087499999999991,83.05401526315796,21.050300000000004,0,0,0.257894736842104
Switzerland,CHE,1979,154.13639972222245,2.7138888888888943,7.949999999999985,78.11678736842104,24.690490000000004,0,0,0.7552631578947335
Switzerland,CHE,1980,154.01990305555555,3.97222222222222,9.069999999999991,88.02087736842105,35.91344,0,0,0.45526315789473537
Switzerland,CHE,1981,142.52437888888886,5.875000000000001,9.784999999999988,92.43441736842111,38.06499,0,0,1.1473684210526267
Switzerland,CHE,1982,134.6576294444443,5.197222222222224,10.334999999999985,94.66160736842106,37.57653,0,0,1.0263157894736803
Switzerland,CHE,1983,147.3345927777776,4.536111111111113,11.362499999999986,92.27066263157899,38.94887000000001,0,0,1.0421052631578902
Switzerland,CHE,1984,142.6283211111113,5.827777777777785,12.67250000000001,78.66806368421057,45.810570000000006,0,0,0.9710526315789435
Switzerland,CHE,1985,145.15021472222244,5.852777777777779,13.267500000000014,84.34755449229026,58.95013850415558,0,0,0.9605263157894707
Switzerland,CHE,1986,158.84817444444423,5.03611111111111,13.587499999999928,86.59284954811166,59.011080332410394,0,0,1.2052631578947366
Switzerland,CHE,1987,149.62580277777786,4.686111111111116,14.56749999999992,91.24920255183305,60.113573407202644,0,0,1.3447368421052603
Switzerland,CHE,1988,150.06096694444503,3.9999999999999987,14.669999999999984,94.19755449229014,59.562326869806576,0,0,1.3499999999999999
Switzerland,CHE,1989,143.99308444444392,4.136111111111117,15.954999999999988,78.35507708665509,59.67590027700878,0,0,1.3921052631578916
Switzerland,CHE,1990,154.29775722222215,4.136111111111117,17.077499999999972,78.41539074960038,61.76731301939097,0.002631578947368411,0,1.1526315789473638
Switzerland,CHE,1991,156.95248055555598,3.513888888888885,19.169999999999945,84.42147793726636,59.98337950138549,0.005263157894736822,0,1.1473684210526267
Switzerland,CHE,1992,159.13806611111158,2.4333333333333402,20.149999999999938,86.06225412014783,61.27700831024971,0.007894736842105232,0,1.2763157894736834
Switzerland,CHE,1993,149.11379416666628,2.0388888888888888,21.139999999999944,94.16103136629337,61.02216066482039,0.010526315789473644,0,1.29210526315789
Switzerland,CHE,1994,154.10161972222238,2.063888888888895,20.85250000000001,102.82251461988179,63.667590027701316,0.013157894736842054,0,1.4473684210526319
Switzerland,CHE,1995,142.80009500000028,2.213888888888886,22.9799999999999,92.55675172780323,65.05817174515279,0.015789473684210464,0,1.5105263157894695
Switzerland,CHE,1996,147.92401694444416,1.6555555555555606,24.874999999999932,75.65257841573545,65.70360110803368,0.018421052631578876,0.002631578947368411,1.615789473684199
Switzerland,CHE,1997,155.62618888888872,1.2750000000000044,24.01499999999996,89.59593301435295,66.40166204986197,0.018421052631578876,0.005263157894736822,1.7315789473684187
Switzerland,CHE,1998,157.54513194444476,1.058333333333334,24.71999999999998,88.09319510898354,67.50138504155167,0.021052631578947288,0.007894736842105232,1.8131578947368328
Switzerland,CHE,1999,152.87431749999956,1.1,25.61249999999993,105.28490164805825,65.16066481994503,0.02631578947368411,0.007894736842105232,1.971052631578944
Switzerland,CHE,2000,148.28627472222192,1.602777777777776,25.469999999999935,96.94035087719183,69.11080332410025,0.028947368421052517,0.007894736842105232,2.192105263157882
Switzerland,CHE,2001,158.69580083333375,1.6749999999999996,26.51,108.7444178628376,70.06371191135786,0.034210526315789344,0.010526315789473644,2.305263157894732
Switzerland,CHE,2002,150.41983444444423,1.5444444444444474,26.020000000000003,92.55741626794148,71.16897506925254,0.03947368421052616,0.013157894736842054,2.392105263157885
Switzerland,CHE,2003,146.3876194444447,1.586111111111109,27.502499999999948,91.49245082402862,71.8310249307485,0.0473684210526314,0.013157894736842054,2.4473684210526256
Switzerland,CHE,2004,145.67651083333283,1.505555555555558,28.372499999999928,88.82030834662301,70.44875346260444,0.0473684210526314,0.015789473684210464,2.5526315789473553
